0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:09 +0800] "GET /taotao-manager-web/item-param-list?_=1521703713088 HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:09 +0800] "GET /item/param/list?page=1&rows=30 HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:12 +0800] "GET /taotao-manager-web/content?_=1521703713089 HTTP/1.1" 200 4174
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:13 +0800] "GET /content/category/list HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:13 +0800] "GET /content/category/list HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:13 +0800] "GET /content/query/list?categoryId=0&page=1&rows=20 HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:14 +0800] "GET /taotao-manager-web/content-category?_=1521703713090 HTTP/1.1" 200 2342
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:14 +0800] "GET /content/category/list HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:14 +0800] "GET /content/category/list HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:15 +0800] "GET /taotao-manager-web/item-add?_=1521703713091 HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:15 +0800] "GET /js/kindeditor-4.1.10/themes/default/default.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:15 +0800] "GET /js/kindeditor-4.1.10/kindeditor-all-min.js?_=1521703713092 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:22 +0800] "GET /taotao-manager-web/item-add?_=1521703713093 HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:22 +0800] "GET /js/kindeditor-4.1.10/themes/default/default.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:22 +0800] "GET /js/kindeditor-4.1.10/kindeditor-all-min.js?_=1521703713094 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:23 +0800] "GET /taotao-manager-web/ HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:23 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:23 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:23 +0800] "GET /taotao-manager-web/css/taotao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:24 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:24 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:24 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:24 +0800] "GET /taotao-manager-web/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:26 +0800] "GET /taotao-manager-web/item-add?_=1521703764069 HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:26 +0800] "GET /js/kindeditor-4.1.10/themes/default/default.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:26 +0800] "GET /js/kindeditor-4.1.10/kindeditor-all-min.js?_=1521703764070 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:29:44 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:00 +0800] "GET /taotao-manager-web/ HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:00 +0800] "GET /taotao-manager-web/css/taotao.css HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:00 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/easyui.css HTTP/1.1" 200 51951
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:00 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:00 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/icon.css HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:00 +0800] "GET /taotao-manager-web/js/common.js HTTP/1.1" 200 7793
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:00 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:00 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/jquery.easyui.min.js HTTP/1.1" 200 353674
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:01 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
